Overall,Team,Player,CarAV
1,IND,Peyton Manning,177
2,SDG,Ryan Leaf,1
3,ARI,Andre Wadsworth,13
4,OAK,Charles Woodson,110
5,CHI,Curtis Enis,10
6,STL,Grant Wistrom,57
7,NOR,Kyle Turley,52
8,DAL,Greg Ellis,70
9,JAX,Fred Taylor,88
10,BAL,Duane Starks,35
11,PHI,Tra Thomas,68
12,ATL,Keith Brooking,81
13,CIN,Takeo Spikes,84
14,CAR,Jason Peter,10
15,SEA,Anthony Simmons,35
16,TEN,Kevin Dyson,22
17,CIN,Brian Simmons,43
18,NWE,Robert Edwards,13
19,GNB,Vonnie Holliday,65
20,DET,Terry Fair,22
21,MIN,Randy Moss,123
22,NWE,Tebucky Jones,26
23,OAK,Mo Collins,31
24,NYG,Shaun Williams,32
25,JAX,Donovin Darius,46
26,PIT,Alan Faneca,114
27,KAN,Victor Riley,45
28,SFO,R.W. McQuarters,36
29,MIA,John Avery,4
30,DEN,Marcus Nash,1
31,OAK,Leon Bender,0
32,IND,Jerome Pathon,29
33,ARI,Corey Chavous,41
34,TAM,Jacquez Green,24
35,CHI,Tony Parrish,49
36,ARI,Anthony Clement,40
37,STL,Robert Holcombe,14
38,DAL,Flozell Adams,78
39,BUF,Sam Cowart,46
40,NOR,Cam Cleeland,9
41,PIT,Jeremy Staat,1
42,BAL,Patrick Johnson,11
43,CIN,Artrell Hawkins,33
44,MIA,Patrick Surtain,67
45,TAM,Brian Kelly,36
46,TEN,Samari Rolle,66
47,SEA,Todd Weiner,50
48,WAS,Stephen Alexander,21
49,MIA,Kenny Mixon,36
50,DET,Germane Crowell,23
51,MIN,Kailee Wong,39
52,NWE,Tony Simmons,8
53,ATL,Bob Hallen,22
54,NWE,Rod Rutledge,2
55,NYG,Joe Jurevicius,30
56,NYJ,Dorian Boose,3
57,JAX,Cordell Taylor,1
58,SFO,Jeremy Newberry,54
59,SDG,Mikhael Ricks,14
60,DET,Charlie Batch,33
61,DEN,Eric Brown,32
62,CAR,Chuck Wiley,12
63,OAK,Jon Ritchie,11
64,CHI,Olin Kreutz,74
65,STL,Leonard Little,53
66,PIT,Chris Conrad,1
67,NYJ,Scott Frost,4
68,BUF,Robert Hicks,14
69,WAS,Skip Hicks,8
