Team,Player,Goals,Points,GP,TOI,Pos,Point.Shares
Montreal Canadiens,Max Pacioretty,35,67,81,1553,LW,9.3
Montreal Canadiens,Alexander Radulov,18,54,76,1390,RW,6.1
Montreal Canadiens,Alex Galchenyuk,17,44,61,972,C,4.9
Montreal Canadiens,Paul Byron,22,43,81,1220,LW,6
Montreal Canadiens,Shea Weber,17,42,78,1955,D,10.1
Montreal Canadiens,Phillip Danault,13,40,82,1278,LW,3.9
Montreal Canadiens,Andrei Markov,6,36,62,1354,D,7.5
Montreal Canadiens,Andrew Shaw,12,29,68,1034,C,3
Montreal Canadiens,Brendan Gallagher,10,29,64,966,RW,3
Montreal Canadiens,Artturi Lehkonen,18,28,73,1012,LW,3.4
Montreal Canadiens,Tomas Plekanec,10,28,78,1312,C,2.4
Montreal Canadiens,Jeff Petry,8,28,80,1769,D,6
Montreal Canadiens,Nathan Beaulieu,4,28,74,1442,D,5.6
Montreal Canadiens,Torrey Mitchell,8,17,78,983,C,1.3
Montreal Canadiens,Brian Flynn,6,10,51,615,C,0.8
Montreal Canadiens,David Desharnais,4,10,31,406,C,1.1
Montreal Canadiens,Alexei Emelin,2,10,76,1620,D,3
Montreal Canadiens,Daniel Carr,2,9,33,338,LW,0.8
Montreal Canadiens,Sven Andrighetto,2,8,27,310,RW,0.6
Montreal Canadiens,Greg Pateryn,1,6,24,345,D,1.2
Montreal Canadiens,Michael McCarron,1,5,31,307,RW,0
Montreal Canadiens,Nikita Nesterov,1,5,13,201,D,1.1
Montreal Canadiens,Zach Redmond,0,5,16,197,D,1.2
Montreal Canadiens,Chris Terry,2,4,14,138,LW,0.4
Montreal Canadiens,Mark Barberio,0,4,26,393,D,0.9
Montreal Canadiens,Jordie Benn,2,2,13,219,D,0.6
Montreal Canadiens,Brandon Davidson,0,2,10,166,D,0.1
Montreal Canadiens,Charles Hudon,0,2,3,36,LW,0.2
Montreal Canadiens,Al Montoya,0,2,19,1125,G,3.3
Montreal Canadiens,Dwight King,1,1,17,208,LW,-0.2
Montreal Canadiens,Nikita Scherbak,1,1,3,34,RW,0.2
Montreal Canadiens,Steve Ott,0,1,11,131,C,-0.2
Montreal Canadiens,Carey Price,0,1,62,3708,G,12.6
Montreal Canadiens,Jacob de La Rose,0,0,9,98,LW,-0.3
Montreal Canadiens,Bobby Farnham,0,0,3,25,RW,0
Montreal Canadiens,Joel Hanley,0,0,7,71,D,-0.2
Montreal Canadiens,Ryan Johnston,0,0,7,69,D,-0.2
Montreal Canadiens,Brett Lernout,0,0,2,38,D,0
Montreal Canadiens,Charlie Lindgren,0,0,2,122,G,0.6
Montreal Canadiens,Andreas Martinsen,0,0,9,107,LW,-0.3
Montreal Canadiens,Mikhail Sergachev,0,0,4,49,D,0.1
Ottawa Senators,Erik Karlsson,17,71,77,2066,D,12.9
Ottawa Senators,Mike Hoffman,26,61,74,1302,LW,8.3
Ottawa Senators,Kyle Turris,27,55,78,1521,C,6.5
Ottawa Senators,Mark Stone,22,54,71,1318,RW,6.8
Ottawa Senators,Derick Brassard,14,39,81,1408,C,4.1
Ottawa Senators,Jean-Gabriel Pageau,12,33,82,1323,C,3.4
Ottawa Senators,Zack Smith,16,32,74,1212,C,3.6
Ottawa Senators,Ryan Dzingel,14,32,81,1165,LW,3.5
Ottawa Senators,Dion Phaneuf,9,30,81,1866,D,5.9
Ottawa Senators,Bobby Ryan,13,25,62,963,RW,2.5
Ottawa Senators,Tom Pyatt,9,23,82,1281,LW,1.8
Ottawa Senators,Chris Wideman,5,17,76,1061,D,4.2
Ottawa Senators,Cody Ceci,2,17,79,1833,D,3.2
Ottawa Senators,Chris Kelly,5,12,82,979,C,-0.4
Ottawa Senators,Marc Methot,0,12,68,1348,D,3.9
Ottawa Senators,Alexandre Burrows,6,11,20,276,LW,1.7
Ottawa Senators,Fredrik Claesson,3,11,33,434,D,2.4
Ottawa Senators,Viktor Stalberg,2,4,18,248,LW,0.1
Ottawa Senators,Tommy Wingels,2,4,36,395,C,-0.4
Ottawa Senators,Chris Neil,1,4,53,401,RW,-0.6
Ottawa Senators,Mark Borowiecki,1,3,70,981,D,1.3
Ottawa Senators,Craig Anderson,0,1,40,2421,G,9.2
Ottawa Senators,Curtis Lazar,0,1,33,291,RW,-0.8
Ottawa Senators,Casey Bailey,0,0,7,56,RW,-0.1
Ottawa Senators,Mike Blunden,0,0,2,16,RW,0
Ottawa Senators,Thomas Chabot,0,0,1,7,D,-0.2
Ottawa Senators,Mike Condon,0,0,40,2304,G,6.7
Ottawa Senators,Chris Didomenico,0,0,3,33,RW,-0.1
Ottawa Senators,Chris Driedger,0,0,1,40,G,-0.2
Ottawa Senators,Andreas Englund,0,0,5,53,D,-0.2
Ottawa Senators,Andrew Hammond,0,0,6,206,G,-0.3
Ottawa Senators,Ben Harpur,0,0,6,107,D,0
Ottawa Senators,Jyrki Jokipakka,0,0,3,43,D,0
Ottawa Senators,Clarke MacArthur,0,0,4,54,LW,-0.1
Ottawa Senators,Max McCormick,0,0,7,47,RW,-0.2
Ottawa Senators,Nick Paul,0,0,1,16,LW,-0.1
Ottawa Senators,Matt Puempel,0,0,13,111,LW,-0.4
Ottawa Senators,Buddy Robinson,0,0,4,28,RW,0
Ottawa Senators,Phil Varone,0,0,7,56,C,-0.2
Ottawa Senators,Colin White,0,0,2,27,C,0
Boston Bruins,Brad Marchand,39,85,80,1555,LW,12.6
Boston Bruins,David Pastrnak,34,70,75,1349,RW,10.3
Boston Bruins,David Krejci,23,54,82,1498,C,6
Boston Bruins,Patrice Bergeron,21,53,79,1534,C,6.6
Boston Bruins,Torey Krug,8,51,81,1750,D,7.9
Boston Bruins,Ryan Spooner,11,39,78,1099,C,3.7
Boston Bruins,David Backes,17,38,74,1267,RW,4.5
Boston Bruins,Zdeno Chara,10,29,75,1750,D,8
Boston Bruins,Dominic Moore,11,25,82,1061,C,2.6
Boston Bruins,Frank Vatrano,10,18,44,593,C,2.2
Boston Bruins,Riley Nash,7,17,81,1118,C,1
Boston Bruins,Brandon Carlo,6,16,82,1707,D,5.2
Boston Bruins,Tim Schaller,7,14,59,724,C,1.1
Boston Bruins,Colin Miller,6,13,61,965,D,3.3
Boston Bruins,Austin Czarnik,5,13,49,638,C,0.7
Boston Bruins,Kevan Miller,3,13,58,1032,D,3.1
Boston Bruins,Adam McQuaid,2,10,77,1405,D,3.3
Boston Bruins,Drew Stafford,4,8,18,257,RW,1.3
Boston Bruins,Matt Beleskey,3,8,49,650,LW,-0.2
Boston Bruins,Noel Acciari,2,5,29,301,C,0.5
Boston Bruins,Jimmy Hayes,2,5,58,535,RW,-0.1
Boston Bruins,John-Michael Liles,0,5,36,583,D,1.3
Boston Bruins,Anton Blidh,1,2,19,167,LW,0
Boston Bruins,Peter Cehlarik,0,2,11,153,LW,0
Boston Bruins,Tuukka Rask,0,2,65,3680,G,9.8
Boston Bruins,Anton Khudobin,0,1,16,885,G,1.9
Boston Bruins,Sean Kuraly,0,1,8,74,C,0
Boston Bruins,Joseph Morrow,0,1,17,264,D,0.1
Boston Bruins,Jakob Forsbacka Karlsson,0,0,1,8,C,0
Boston Bruins,Matthew Grzelcyk,0,0,2,25,D,0
Boston Bruins,Danton Heinen,0,0,8,106,C,-0.3
Boston Bruins,Zane McIntyre,0,0,8,333,G,-0.1
Boston Bruins,Rob O'Gara,0,0,3,48,D,0.1
Boston Bruins,Malcolm Subban,0,0,1,31,G,-0.1
Toronto Maple Leafs,Auston Matthews,40,69,82,1446,C,9.7
Toronto Maple Leafs,James van Riemsdyk,29,62,82,1303,LW,7.7
Toronto Maple Leafs,Nazem Kadri,32,61,82,1360,C,7.6
Toronto Maple Leafs,William Nylander,22,61,81,1297,C,6.8
Toronto Maple Leafs,Mitch Marner,19,61,77,1294,C,6.6
Toronto Maple Leafs,Tyler Bozak,18,55,78,1282,C,5.8
Toronto Maple Leafs,Jake Gardiner,9,43,82,1766,D,8.7
Toronto Maple Leafs,Connor Brown,20,36,82,1329,RW,4
Toronto Maple Leafs,Nikita Zaitsev,4,36,82,1806,D,3.6
Toronto Maple Leafs,Leo Komarov,14,32,82,1400,C,2.8
Toronto Maple Leafs,Zach Hyman,10,28,82,1369,C,1.8
Toronto Maple Leafs,Morgan Rielly,6,27,76,1685,D,2.9
Toronto Maple Leafs,Matt Hunwick,1,19,72,1294,D,3.6
Toronto Maple Leafs,Roman Polak,4,11,75,1344,D,3.2
Toronto Maple Leafs,Josh Leivo,2,10,13,163,LW,1.1
Toronto Maple Leafs,Matt Martin,5,9,82,730,LW,0.2
Toronto Maple Leafs,Nikita Soshnikov,5,9,56,608,RW,0.5
Toronto Maple Leafs,Connor Carrick,2,8,67,1095,D,2.3
Toronto Maple Leafs,Martin Marincin,1,7,25,451,D,1.4
Toronto Maple Leafs,Ben Smith,2,4,36,416,RW,-0.3
Toronto Maple Leafs,Frederik Gauthier,2,3,21,204,C,0.3
Toronto Maple Leafs,Brian Boyle,0,3,21,238,C,-0.2
Toronto Maple Leafs,Alexey Marchenko,1,2,11,156,D,0.5
Toronto Maple Leafs,Milan Michalek,1,2,5,71,LW,0.1
Toronto Maple Leafs,Kasperi Kapanen,1,1,8,86,RW,0
Toronto Maple Leafs,Frederik Andersen,0,1,66,3799,G,13.1
Toronto Maple Leafs,Peter Holland,0,1,8,86,C,-0.1
Toronto Maple Leafs,Antoine Bibeau,0,0,2,121,G,0.4
Toronto Maple Leafs,Frank Corrado,0,0,2,28,D,0
Toronto Maple Leafs,Jhonas Enroth,0,0,6,274,G,0.2
Toronto Maple Leafs,Eric Fehr,0,0,1,11,C,-0.1
Toronto Maple Leafs,Byron Froese,0,0,2,16,C,0
Toronto Maple Leafs,Seth Griffith,0,0,3,28,C,-0.1
Toronto Maple Leafs,Curtis McElhinney,0,0,14,759,G,2.5
Tampa Bay Lightning,Nikita Kucherov,40,85,74,1438,RW,12
Tampa Bay Lightning,Victor Hedman,16,72,79,1936,D,12
Tampa Bay Lightning,Jonathan Drouin,21,53,73,1293,LW,5.5
Tampa Bay Lightning,Ondrej Palat,17,52,75,1434,LW,5.6
Tampa Bay Lightning,Tyler Johnson,19,45,66,1242,C,4.8
Tampa Bay Lightning,Brayden Point,18,40,68,1165,C,4.7
Tampa Bay Lightning,Alex Killorn,19,36,81,1458,LW,3.3
Tampa Bay Lightning,Valtteri Filppula,7,34,59,1033,C,2.9
Tampa Bay Lightning,Vladislav Namestnikov,10,28,74,1094,C,2.2
Tampa Bay Lightning,Brian Boyle,13,22,54,740,C,2.9
Tampa Bay Lightning,Anton Stralman,5,22,73,1672,D,4.8
Tampa Bay Lightning,Steven Stamkos,9,20,17,304,C,2.8
Tampa Bay Lightning,Andrej Sustr,3,14,80,1407,D,2.5
Tampa Bay Lightning,Braydon Coburn,5,12,80,1339,D,3.2
Tampa Bay Lightning,Nikita Nesterov,3,12,35,580,D,2
Tampa Bay Lightning,Jake Dotchin,0,11,35,645,D,2.7
Tampa Bay Lightning,Cedric Paquette,4,10,58,668,C,0.2
Tampa Bay Lightning,Jason Garrison,1,9,70,1300,D,1.8
Tampa Bay Lightning,Yanni Gourde,6,8,20,307,C,1
Tampa Bay Lightning,J.T. Brown,3,6,64,664,RW,-0.4
Tampa Bay Lightning,Ryan Callahan,2,4,18,255,RW,0.1
Tampa Bay Lightning,Gabriel Dumont,2,4,39,377,C,0.1
Tampa Bay Lightning,Cory Conacher,1,4,11,127,LW,0.3
Tampa Bay Lightning,Slater Koekkoek,0,4,29,377,D,0.5
Tampa Bay Lightning,Luke Witkowski,0,4,34,336,D,0.7
Tampa Bay Lightning,Adam Erne,3,3,26,307,LW,-0.2
