ARI,ATL,BAL,BUF,CAR,CHI,CIN,DAL,DEN,DET,GNB,IND,JAX,KAN,MIA,MIN,NOR,NWE,NYG,NYJ,OAK,PHI,PIT,SDG,SEA,SFO,STL,TAM,TEN,WAS
3,12,10,39,14,5,13,8,30,20,19,1,9,27,29,21,7,18,24,56,4,11,26,2,15,28,6,34,16,48
33,53,42,68,62,35,17,38,61,50,90,32,25,88,44,51,40,22,55,67,23,72,41,59,47,58,37,45,46,69
36,74,124,131,73,64,43,100,91,60,121,71,57,120,49,80,97,52,70,87,31,85,66,126,76,89,65,84,77,113
95,103,133,160,106,94,75,130,122,185,150,93,86,128,79,110,99,54,147,111,63,112,92,155,108,119,96,104,107,140
125,114,154,198,136,157,78,138,153,207,156,135,101,181,82,144,132,81,177,134,109,116,117,194,162,151,98,175,139,170
158,166,164,238,165,189,105,188,200,244,187,190,118,216,102,173,161,83,213,141,127,142,123,234,169,180,129,184,168,191
193,199,241,245,196,217,167,223,219,245,218,231,148,224,143,208,204,115,245,146,152,220,137,245,197,215,159,212,205,206
209,201,246,246,228,232,202,227,246,246,246,246,179,246,171,225,239,145,246,149,230,240,178,246,246,246,236,246,229,246
226,203,247,247,247,247,222,237,247,247,247,247,182,247,172,247,247,176,247,163,235,247,186,247,247,247,247,247,247,247
233,248,248,248,248,248,248,248,248,248,248,248,192,248,210,248,248,211,248,174,248,248,221,248,248,248,248,248,248,248
249,249,249,249,249,249,249,249,249,249,249,249,214,249,249,249,249,249,249,183,249,249,249,249,249,249,249,249,249,249
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,195,250,250,250,250,250,250,250,250,250,250
