date,year,short,teamnum
2005-10-05,2005,BOS,1
2005-10-05,2005,BUF,1
2005-10-05,2005,CHI,1
2005-10-05,2005,DAL,1
2005-10-05,2005,DET,1
2005-10-05,2005,EDM,1
2005-10-05,2005,FLA,1
2005-10-05,2005,MIN,1
2005-10-05,2005,NJD,1
2005-10-05,2005,NSH,1
2005-10-05,2005,PHI,1
2005-10-05,2005,TBL,1
2005-10-05,2005,TOR,1
2005-10-05,2005,VAN,1
2005-10-05,2005,WSH,1
2005-10-05,2005,MTL,1
2005-10-05,2005,NYI,1
2005-10-05,2005,MDA,1
2005-10-05,2005,LAK,1
2005-10-05,2005,STL,1
2005-10-05,2005,COL,1
2005-10-05,2005,ATL,1
2005-10-05,2005,CGY,1
2005-10-05,2005,PIT,1
2005-10-05,2005,SJS,1
2005-10-05,2005,NYR,1
2005-10-05,2005,CAR,1
2005-10-05,2005,OTT,1
2005-10-05,2005,PHX,1
2005-10-05,2005,CBJ,1
2005-10-06,2005,LAK,2
2005-10-06,2005,NYR,2
2005-10-06,2005,STL,2
2005-10-06,2005,PHX,2
2005-10-06,2005,MTL,2
2005-10-06,2005,DET,2
2005-10-07,2005,BUF,2
2005-10-07,2005,CAR,2
2005-10-07,2005,CBJ,2
2005-10-07,2005,CHI,2
2005-10-07,2005,FLA,2
2005-10-07,2005,PHI,2
2005-10-07,2005,WSH,2
2005-10-07,2005,BOS,2
2005-10-07,2005,PIT,2
2005-10-07,2005,CGY,2
2005-10-07,2005,SJS,2
2005-10-07,2005,TBL,2
2005-10-07,2005,NJD,2
2005-10-07,2005,ATL,2
2005-10-08,2005,ATL,3
2005-10-08,2005,DAL,2
2005-10-08,2005,EDM,2
2005-10-08,2005,NJD,3
2005-10-08,2005,NSH,2
2005-10-08,2005,NYI,2
2005-10-08,2005,OTT,2
2005-10-08,2005,PHX,3
2005-10-08,2005,PIT,3
2005-10-08,2005,STL,3
2005-10-08,2005,TBL,3
2005-10-08,2005,TOR,2
2005-10-08,2005,WSH,3
2005-10-08,2005,COL,2
2005-10-08,2005,VAN,2
2005-10-08,2005,NYR,3
2005-10-08,2005,MDA,2
2005-10-08,2005,CAR,3
2005-10-08,2005,BUF,3
2005-10-08,2005,MIN,2
2005-10-08,2005,BOS,3
2005-10-08,2005,SJS,3
2005-10-08,2005,FLA,3
2005-10-08,2005,MTL,3
2005-10-09,2005,CHI,3
2005-10-09,2005,DET,3
2005-10-09,2005,LAK,3
2005-10-09,2005,CBJ,3
2005-10-09,2005,CGY,3
2005-10-09,2005,MIN,3
2005-10-10,2005,BUF,4
2005-10-10,2005,COL,3
2005-10-10,2005,DET,4
2005-10-10,2005,MDA,3
2005-10-10,2005,NYI,3
2005-10-10,2005,OTT,3
2005-10-10,2005,TBL,4
2005-10-10,2005,WSH,4
2005-10-10,2005,PIT,4
2005-10-10,2005,CGY,4
2005-10-10,2005,VAN,3
2005-10-10,2005,EDM,3
2005-10-10,2005,FLA,4
2005-10-10,2005,TOR,3
2005-10-10,2005,BOS,4
2005-10-10,2005,NYR,4
2005-10-11,2005,DAL,3
2005-10-11,2005,LAK,4
2005-10-11,2005,MTL,4
2005-10-11,2005,STL,4
2005-10-11,2005,TOR,4
2005-10-11,2005,PHX,4
2005-10-11,2005,EDM,4
2005-10-11,2005,OTT,4
2005-10-11,2005,CHI,4
2005-10-11,2005,PHI,3
2005-10-12,2005,ATL,4
2005-10-12,2005,CAR,4
2005-10-12,2005,COL,4
2005-10-12,2005,MIN,4
2005-10-12,2005,SJS,4
2005-10-12,2005,MTL,5
2005-10-12,2005,WSH,5
2005-10-12,2005,NSH,3
2005-10-12,2005,VAN,4
2005-10-12,2005,CBJ,4
2005-10-13,2005,CGY,5
2005-10-13,2005,FLA,5
2005-10-13,2005,LAK,5
2005-10-13,2005,NYR,5
2005-10-13,2005,PHX,5
2005-10-13,2005,TBL,5
2005-10-13,2005,WSH,6
2005-10-13,2005,DAL,4
2005-10-13,2005,BOS,5
2005-10-13,2005,DET,5
2005-10-13,2005,NJD,4
2005-10-13,2005,NSH,4
2005-10-13,2005,BUF,5
2005-10-13,2005,NYI,4
2005-10-14,2005,ATL,5
2005-10-14,2005,COL,5
2005-10-14,2005,EDM,5
2005-10-14,2005,MDA,4
2005-10-14,2005,MIN,5
2005-10-14,2005,PHI,4
2005-10-14,2005,TOR,5
2005-10-14,2005,CHI,5
2005-10-14,2005,DAL,5
2005-10-14,2005,CBJ,5
2005-10-14,2005,VAN,5
2005-10-14,2005,PIT,5
2005-10-15,2005,CGY,6
2005-10-15,2005,FLA,6
2005-10-15,2005,MTL,6
2005-10-15,2005,NJD,5
2005-10-15,2005,NYR,6
2005-10-15,2005,OTT,5
2005-10-15,2005,PHI,5
2005-10-15,2005,PHX,6
2005-10-15,2005,PIT,6
2005-10-15,2005,SJS,5
2005-10-15,2005,STL,5
2005-10-15,2005,EDM,6
2005-10-15,2005,BUF,6
2005-10-15,2005,TOR,6
2005-10-15,2005,CAR,5
2005-10-15,2005,ATL,6
2005-10-15,2005,BOS,6
2005-10-15,2005,NYI,5
2005-10-15,2005,DET,6
2005-10-15,2005,TBL,6
2005-10-15,2005,CHI,6
2005-10-15,2005,NSH,5
2005-10-16,2005,LAK,6
2005-10-16,2005,MIN,6
2005-10-16,2005,VAN,6
2005-10-16,2005,WSH,7
2005-10-16,2005,CBJ,6
2005-10-16,2005,MDA,5
2005-10-16,2005,DAL,6
2005-10-16,2005,TBL,7
2005-10-17,2005,CGY,7
2005-10-17,2005,DET,7
2005-10-17,2005,NYR,7
2005-10-17,2005,PHX,7
2005-10-17,2005,SJS,6
2005-10-17,2005,FLA,7
2005-10-18,2005,EDM,7
2005-10-18,2005,MTL,7
2005-10-18,2005,NJD,6
2005-10-18,2005,VAN,7
2005-10-18,2005,PHX,8
2005-10-18,2005,BOS,7
2005-10-18,2005,FLA,8
2005-10-18,2005,CHI,7
2005-10-19,2005,COL,6
2005-10-19,2005,MIN,7
2005-10-19,2005,NYR,8
2005-10-19,2005,STL,6
2005-10-19,2005,LAK,7
2005-10-19,2005,SJS,7
2005-10-19,2005,NYI,6
2005-10-19,2005,MDA,6
2005-10-20,2005,ATL,7
2005-10-20,2005,BOS,8
2005-10-20,2005,CGY,8
2005-10-20,2005,DAL,7
2005-10-20,2005,FLA,9
2005-10-20,2005,NSH,6
2005-10-20,2005,NYI,7
2005-10-20,2005,PIT,7
2005-10-20,2005,TOR,7
2005-10-20,2005,VAN,8
2005-10-20,2005,TBL,8
2005-10-20,2005,BUF,7
2005-10-20,2005,EDM,8
2005-10-20,2005,LAK,8
2005-10-20,2005,WSH,8
2005-10-20,2005,STL,7
2005-10-20,2005,NYR,9
2005-10-20,2005,NJD,7
2005-10-20,2005,CAR,6
2005-10-20,2005,PHX,9
2005-10-21,2005,CBJ,7
2005-10-21,2005,DET,8
2005-10-21,2005,EDM,9
2005-10-21,2005,TBL,9
2005-10-21,2005,SJS,8
2005-10-21,2005,MDA,7
2005-10-21,2005,COL,7
2005-10-21,2005,OTT,6
2005-10-22,2005,ATL,8
2005-10-22,2005,BOS,9
2005-10-22,2005,BUF,8
2005-10-22,2005,CBJ,8
2005-10-22,2005,DAL,8
2005-10-22,2005,MTL,8
2005-10-22,2005,NSH,7
2005-10-22,2005,STL,8
2005-10-22,2005,TOR,8
2005-10-22,2005,VAN,9
2005-10-22,2005,WSH,9
2005-10-22,2005,NJD,8
2005-10-22,2005,PIT,8
2005-10-22,2005,NYR,10
2005-10-22,2005,DET,9
2005-10-22,2005,CGY,9
2005-10-22,2005,NYI,8
2005-10-22,2005,SJS,9
2005-10-22,2005,MIN,8
2005-10-22,2005,PHI,6
2005-10-22,2005,COL,8
2005-10-22,2005,CAR,7
2005-10-23,2005,CHI,8
2005-10-23,2005,LAK,9
2005-10-23,2005,MDA,8
2005-10-23,2005,MIN,9
2005-10-23,2005,CGY,10
2005-10-23,2005,PHX,10
2005-10-24,2005,CAR,8
2005-10-24,2005,CBJ,9
2005-10-24,2005,TOR,9
2005-10-24,2005,OTT,7
2005-10-24,2005,DET,10
2005-10-24,2005,BOS,10
2005-10-25,2005,COL,9
2005-10-25,2005,LAK,10
2005-10-25,2005,MIN,10
2005-10-25,2005,MTL,9
2005-10-25,2005,NSH,8
2005-10-25,2005,NYI,9
2005-10-25,2005,PHX,11
2005-10-25,2005,PIT,9
2005-10-25,2005,EDM,10
2005-10-25,2005,MDA,9
2005-10-25,2005,VAN,10
2005-10-25,2005,PHI,7
2005-10-25,2005,CHI,9
2005-10-25,2005,ATL,9
2005-10-25,2005,STL,9
2005-10-25,2005,FLA,10
2005-10-26,2005,BUF,9
2005-10-26,2005,CAR,9
2005-10-26,2005,CBJ,10
2005-10-26,2005,DAL,9
2005-10-26,2005,MDA,10
2005-10-26,2005,NJD,9
2005-10-26,2005,WSH,10
2005-10-26,2005,BOS,11
2005-10-26,2005,NSH,9
2005-10-26,2005,SJS,10
2005-10-26,2005,CGY,11
2005-10-26,2005,TBL,10
2005-10-27,2005,BOS,12
2005-10-27,2005,COL,10
2005-10-27,2005,DET,11
2005-10-27,2005,NYR,11
2005-10-27,2005,OTT,8
2005-10-27,2005,PHI,8
2005-10-27,2005,PHX,12
2005-10-27,2005,PIT,10
2005-10-27,2005,TOR,10
2005-10-27,2005,VAN,11
2005-10-27,2005,CHI,10
2005-10-27,2005,NYI,10
2005-10-27,2005,MTL,10
2005-10-27,2005,FLA,11
2005-10-27,2005,CGY,12
2005-10-27,2005,ATL,10
2005-10-28,2005,CAR,10
2005-10-28,2005,CBJ,11
2005-10-28,2005,DAL,10
2005-10-28,2005,LAK,11
2005-10-28,2005,MDA,11
2005-10-28,2005,NJD,10
2005-10-28,2005,TBL,11
2005-10-28,2005,PHI,9
2005-10-28,2005,MIN,11
2005-10-28,2005,EDM,11
2005-10-28,2005,SJS,11
2005-10-28,2005,STL,10
2005-10-28,2005,BUF,10
2005-10-28,2005,WSH,11
2005-10-29,2005,ATL,11
2005-10-29,2005,BOS,13
2005-10-29,2005,CHI,11
2005-10-29,2005,COL,11
2005-10-29,2005,LAK,12
2005-10-29,2005,MIN,12
2005-10-29,2005,MTL,11
2005-10-29,2005,NSH,10
2005-10-29,2005,NYI,11
2005-10-29,2005,PHX,13
2005-10-29,2005,PIT,11
2005-10-29,2005,SJS,12
2005-10-29,2005,TOR,11
2005-10-29,2005,TBL,12
2005-10-29,2005,NJD,11
2005-10-29,2005,DET,12
2005-10-29,2005,VAN,12
2005-10-29,2005,STL,11
2005-10-29,2005,CBJ,12
2005-10-29,2005,NYR,12
2005-10-29,2005,EDM,12
2005-10-29,2005,BUF,11
2005-10-29,2005,DAL,11
2005-10-29,2005,CAR,11
2005-10-29,2005,CGY,13
2005-10-29,2005,OTT,9
2005-10-30,2005,MDA,12
2005-10-30,2005,OTT,10
2005-10-30,2005,PHX,14
2005-10-30,2005,PHI,10
2005-10-31,2005,NYR,13
2005-10-31,2005,TOR,12
2005-10-31,2005,MTL,12
2005-10-31,2005,FLA,12
2005-11-01,2005,CGY,14
2005-11-01,2005,DET,13
2005-11-01,2005,EDM,13
2005-11-01,2005,MDA,13
2005-11-01,2005,MTL,13
2005-11-01,2005,NJD,12
2005-11-01,2005,NYI,12
2005-11-01,2005,TBL,13
2005-11-01,2005,MIN,13
2005-11-01,2005,CHI,12
2005-11-01,2005,CBJ,13
2005-11-01,2005,NSH,11
2005-11-01,2005,FLA,13
2005-11-01,2005,PIT,12
2005-11-01,2005,BOS,14
2005-11-01,2005,ATL,12
2005-11-02,2005,BUF,12
2005-11-02,2005,DAL,12
2005-11-02,2005,SJS,13
2005-11-02,2005,STL,12
2005-11-02,2005,VAN,13
2005-11-02,2005,OTT,11
2005-11-02,2005,LAK,13
2005-11-02,2005,NSH,12
2005-11-02,2005,CHI,13
2005-11-02,2005,MIN,14
2005-11-03,2005,BOS,15
2005-11-03,2005,CAR,12
2005-11-03,2005,CGY,15
2005-11-03,2005,COL,12
2005-11-03,2005,DET,14
2005-11-03,2005,NJD,13
2005-11-03,2005,NYI,13
2005-11-03,2005,OTT,12
2005-11-03,2005,PHI,11
2005-11-03,2005,PHX,15
2005-11-03,2005,FLA,14
2005-11-03,2005,TOR,13
2005-11-03,2005,CBJ,14
2005-11-03,2005,MDA,14
2005-11-03,2005,EDM,14
2005-11-03,2005,NYR,14
2005-11-03,2005,PIT,13
2005-11-03,2005,TBL,14
2005-11-03,2005,WSH,12
2005-11-03,2005,LAK,14
2005-11-04,2005,BUF,13
2005-11-04,2005,DAL,13
2005-11-04,2005,MDA,15
2005-11-04,2005,STL,13
2005-11-04,2005,VAN,14
2005-11-04,2005,WSH,13
2005-11-04,2005,MTL,14
2005-11-04,2005,CHI,14
2005-11-04,2005,SJS,14
2005-11-04,2005,EDM,15
2005-11-04,2005,CBJ,15
2005-11-04,2005,ATL,13
2005-11-05,2005,BOS,16
2005-11-05,2005,CAR,13
2005-11-05,2005,CGY,16
2005-11-05,2005,COL,13
2005-11-05,2005,DET,15
2005-11-05,2005,LAK,15
2005-11-05,2005,MTL,15
2005-11-05,2005,NYR,15
2005-11-05,2005,OTT,13
2005-11-05,2005,PHI,12
2005-11-05,2005,SJS,15
2005-11-05,2005,TOR,14
2005-11-05,2005,PIT,14
2005-11-05,2005,FLA,15
2005-11-05,2005,VAN,15
2005-11-05,2005,DAL,14
2005-11-05,2005,PHX,16
2005-11-05,2005,NSH,13
2005-11-05,2005,BUF,14
2005-11-05,2005,NJD,14
2005-11-05,2005,NYI,14
2005-11-05,2005,ATL,14
2005-11-05,2005,MIN,15
2005-11-05,2005,TBL,15
2005-11-06,2005,CHI,15
2005-11-06,2005,MDA,16
2005-11-06,2005,STL,14
2005-11-06,2005,WSH,14
2005-11-06,2005,PHX,17
2005-11-06,2005,MIN,16
2005-11-06,2005,DET,16
2005-11-06,2005,TOR,15
2005-11-07,2005,CGY,17
2005-11-07,2005,DAL,15
2005-11-07,2005,NYR,16
2005-11-07,2005,VAN,16
2005-11-07,2005,EDM,16
2005-11-07,2005,PIT,15
2005-11-08,2005,COL,14
2005-11-08,2005,MIN,17
2005-11-08,2005,MTL,16
2005-11-08,2005,NJD,15
2005-11-08,2005,NSH,14
2005-11-08,2005,PHI,13
2005-11-08,2005,TOR,16
2005-11-08,2005,SJS,16
2005-11-08,2005,PHX,18
2005-11-08,2005,TBL,16
2005-11-08,2005,NYI,15
2005-11-08,2005,EDM,17
2005-11-08,2005,BOS,17
2005-11-08,2005,WSH,15
2005-11-09,2005,ATL,15
2005-11-09,2005,BUF,15
2005-11-09,2005,CBJ,16
2005-11-09,2005,DET,17
2005-11-09,2005,FLA,16
2005-11-09,2005,PIT,16
2005-11-09,2005,CAR,14
2005-11-09,2005,STL,15
2005-11-09,2005,LAK,16
2005-11-09,2005,NYR,17
2005-11-10,2005,BOS,18
2005-11-10,2005,NSH,15
2005-11-10,2005,PHI,14
2005-11-10,2005,PHX,19
2005-11-10,2005,PIT,17
2005-11-10,2005,STL,16
2005-11-10,2005,TBL,17
2005-11-10,2005,VAN,17
2005-11-10,2005,OTT,14
2005-11-10,2005,DAL,16
2005-11-10,2005,NYI,16
2005-11-10,2005,CGY,18
2005-11-10,2005,MTL,17
2005-11-10,2005,CHI,16
2005-11-10,2005,NYR,18
2005-11-10,2005,COL,15
2005-11-11,2005,ATL,16
2005-11-11,2005,BUF,16
2005-11-11,2005,CBJ,17
2005-11-11,2005,CHI,17
2005-11-11,2005,DET,18
2005-11-11,2005,FLA,17
2005-11-11,2005,WSH,16
2005-11-11,2005,TBL,18
2005-11-11,2005,TOR,17
2005-11-11,2005,EDM,18
2005-11-11,2005,LAK,17
2005-11-11,2005,MIN,18
2005-11-11,2005,CAR,15
2005-11-11,2005,NJD,16
2005-11-12,2005,CAR,16
2005-11-12,2005,CGY,19
2005-11-12,2005,MTL,18
2005-11-12,2005,NJD,17
2005-11-12,2005,NSH,16
2005-11-12,2005,NYI,17
2005-11-12,2005,OTT,15
2005-11-12,2005,PHI,15
2005-11-12,2005,PHX,20
2005-11-12,2005,PIT,18
2005-11-12,2005,SJS,17
2005-11-12,2005,ATL,17
2005-11-12,2005,COL,16
2005-11-12,2005,TOR,18
2005-11-12,2005,WSH,17
2005-11-12,2005,STL,17
2005-11-12,2005,BOS,19
2005-11-12,2005,BUF,17
2005-11-12,2005,FLA,18
2005-11-12,2005,MDA,17
2005-11-12,2005,NYR,19
2005-11-12,2005,DAL,17
